영어,역사,생윤,국어,창체,창체,통과
반착,강성,김지,이진,,,김은
체육,통사,통과,정보,창체,창체,수학
김경,이현,김은,김애,,,박은
국어,통과,수학,통사,창체,창체,정보
이진,최경,박은,이광,,,김애
진로,체육,정보,생윤,창체,창체,국어
강서,김경,김애,김지,,,이진
물리,실험,영어,국어,창체,창체,한문
송선,권선,반착,정진,,,홍경
통과,진로,국어,역사,창체,창체,수학
김은,강서,정진,이은,,,하성
체육,한문,물리,영어,창체,창체,통사
곽혁,홍경,송선,김범,,,이현
역사,수학,국어,영회,창체,창체,물리
이광,하성,김미,안나,,,송선
선C ,운동,선B ,영어,창체,창체,선A 
"여은
신현",곽혁,"여은
신현",이용,,,여은
선C ,영어,선B ,융합,창체,창체,선A 
정장,이용,박지,김해,,,성준
선C ,문학,선B ,확통,창체,창체,선A 
임두,성락,이현,정주,,,임두
선C ,논술,선B ,중국,창체,창체,선A 
이대,정주,이대,정에,,,이대
선C ,음미,선B ,문학,창체,창체,선A 
권미,성은,권미,성락,,,권미
선C ,음미,선B ,문학,창체,창체,선A 
권선,송현,신지,김선,,,권선
선C ,논술,선B ,운동,창체,창체,선A 
강선,박소,강선,문일,,,강선
선C ,영어,선B ,확통,창체,창체,선A 
유병,이성,유병,박소,,,김해
선C ,문학,선B ,일본,창체,창체,선A 
김해,김선,정태,박효,,,정태
선C ,운동,선B ,영어,창체,창체,선A 
신지,문일,김영,이성,,,김영
스포,선A ,진로,선D ,창체,창체,선C 
조권,김범,정에,강성,,,신지
영어,선A ,독서,선D ,창체,창체,선C 
김도,임두,박소,백유,,,백유
직업,선A ,진로,선D ,창체,창체,선C 
정에,전민,성준,전민,,,전민
독서,선A ,영어,선D ,창체,창체,선C 
박소,이은,김도,김미,,,김미
영어,선A ,정보,선D ,창체,창체,선C 
최영,양정,안효,양정,,,최경
심리,선A ,독서,선D ,창체,창체,선C 
정진,정장,강현,정동,,,정동
민주,선A ,진로,선D ,창체,창체,선C 
"박효
조서",이민,송현,이민,,,이민
진로,선A ,영어,선D ,창체,창체,선C 
성준,고건,최영,고건,,,고건
독서,선A ,스포,선D ,창체,창체,선C 
강현,김신,김경,김신,,,김신
정보,선A ,스포,선D ,창체,창체,선C 
안효,고광,조권,"정태
박지",,,고광
